Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description
Delicate Lace Underwire Bra,delicate-lace-underwire-bra,"<p>Handcrafted delicate floral lace bra with soft underwire support and adjustable silk straps.</p>",Lace & Love,"Apparel & Accessories > Clothing > Underwear & Socks > Bras",Tshirt Bra,"Tshirt Bra, Bras, Lace, Intimates",TRUE,Active,BRA-LACE-SBK,,Size,S,,Color,Black Silk,,,,,48.00,65.00,18.00,TRUE,,,,,,shopify,50,DENY,150,g,TRUE,manual,https://burst.shopifycdn.com/photos/forest-hiker.jpg?width=1000,1,Delicate Lace Bra,,FALSE,Delicate Lace Underwire Bra,Luxury floral lace bra
,delicate-lace-underwire-bra,,Lace & Love,"Apparel & Accessories > Clothing > Underwear & Socks",,,TRUE,Active,BRA-LACE-MBK,,Size,M,,Color,Black Silk,,,,,48.00,65.00,18.00,TRUE,,,,,,shopify,50,DENY,150,g,TRUE,manual,,,,,FALSE,,
,delicate-lace-underwire-bra,,Lace & Love,"Apparel & Accessories > Clothing > Underwear & Socks",,,TRUE,Active,BRA-LACE-LBK,,Size,L,,Color,Black Silk,,,,,48.00,65.00,18.00,TRUE,,,,,,shopify,50,DENY,150,g,TRUE,manual,,,,,FALSE,,
Sports Comfort Seamless Bra,sports-comfort-seamless-bra,"<p>Ultra-flexible breathable sports bra designed for active comfort and medium support.</p>",Lace & Love,"Apparel & Accessories > Clothing > Underwear & Socks > Bras",Sports Bra,"Sports Bra, Bras, Activewear",TRUE,Active,BRA-SPRT-SRP,,Size,S,,Color,Rose Pink,,,,,38.00,50.00,14.00,TRUE,,,,,,shopify,50,DENY,150,g,TRUE,manual,https://burst.shopifycdn.com/photos/forest-hiker.jpg?width=1000,1,Sports Comfort Seamless Bra,,FALSE,Sports Comfort Seamless Bra,Active breathable sports bra
,sports-comfort-seamless-bra,,Lace & Love,"Apparel & Accessories > Clothing > Underwear & Socks",,,TRUE,Active,BRA-SPRT-MRP,,Size,M,,Color,Rose Pink,,,,,38.00,50.00,14.00,TRUE,,,,,,shopify,50,DENY,150,g,TRUE,manual,,,,,FALSE,,
Silk Camisole Bralette,silk-camisole-bralette,"<p>Delicate silk-touch camisole bralette with adjustable straps and soft lace edging.</p>",Lace & Love,"Apparel & Accessories > Clothing > Underwear & Socks > Bras",Camisole,"Camisole, Bras, Silk",TRUE,Active,BRA-CAMI-SCN,,Size,S,,Color,Cream Nude,,,,,42.00,55.00,16.00,TRUE,,,,,,shopify,50,DENY,150,g,TRUE,manual,https://burst.shopifycdn.com/photos/forest-hiker.jpg?width=1000,1,Silk Camisole Bralette,,FALSE,Silk Camisole Bralette,Silk camisole bralette
Bikini Cotton Stretch Panties,bikini-cotton-stretch-panties,"<p>Ultra-soft organic cotton stretch bikini brief with elastic waistband.</p>",Lace & Love,"Apparel & Accessories > Clothing > Underwear & Socks > Underwear",Bikini,"Bikini, Panties, Cotton",TRUE,Active,PNT-BIK-SBK,,Size,S,,Color,Black,,,,,18.00,24.00,6.00,TRUE,,,,,,shopify,50,DENY,150,g,TRUE,manual,https://burst.shopifycdn.com/photos/forest-hiker.jpg?width=1000,1,Bikini Cotton Stretch Panties,,FALSE,Bikini Cotton Stretch Panties,Organic cotton stretch bikini
,bikini-cotton-stretch-panties,,Lace & Love,"Apparel & Accessories > Clothing > Underwear & Socks",,,TRUE,Active,PNT-BIK-MBK,,Size,M,,Color,Black,,,,,18.00,24.00,6.00,TRUE,,,,,,shopify,50,DENY,150,g,TRUE,manual,,,,,FALSE,,
Hipster Lace Accent Brief,hipster-lace-accent-brief,"<p>Mid-rise hipster brief with intricate lace side panels and comfortable full coverage.</p>",Lace & Love,"Apparel & Accessories > Clothing > Underwear & Socks > Underwear",Hipster,"Hipster, Panties, Lace",TRUE,Active,PNT-HIP-SRP,,Size,S,,Color,Rose Pink,,,,,22.00,28.00,8.00,TRUE,,,,,,shopify,50,DENY,150,g,TRUE,manual,https://burst.shopifycdn.com/photos/forest-hiker.jpg?width=1000,1,Hipster Lace Accent Brief,,FALSE,Hipster Lace Accent Brief,Mid-rise hipster lace brief
Contour High Waist Brief,contour-high-waist-brief,"<p>Targeted high-waist tummy control brief that smoothes contours effortlessly.</p>",Lace & Love,"Apparel & Accessories > Clothing > Underwear & Socks > Shapewear",High Waist Brief,"High Waist Brief, Panties, Shapewear",TRUE,Active,SHP-HW-MBK,,Size,M,,Color,Black,,,,,42.00,55.00,15.00,TRUE,,,,,,shopify,50,DENY,150,g,TRUE,manual,https://burst.shopifycdn.com/photos/forest-hiker.jpg?width=1000,1,Contour High Waist Brief,,FALSE,Contour High Waist Brief,Targeted tummy control brief
